x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,volume ,eccentricity,min_area
0.1385,0.1175,-0.5845,0.0855,-0.4925,0.7855,-0.6235,-0.3185,-0.6905,0.3255,11.72849556,0.632621444,0.021164582
0.8255,-0.2065,-0.8385,0.4905,0.9675,0.2025,-0.5055,-0.1005,-0.4745,0.7345,11.75526478,0.382456762,0.034500351
-0.3215,-0.8485,0.5945,-0.0165,0.0745,0.5475,0.3675,-0.3475,-0.2195,0.8075,11.76857076,0.222161463,0.063210158
0.3315,-0.1605,0.0175,-0.0075,-0.2905,-0.4585,-0.3765,0.6515,-0.5305,-0.9785,11.78594423,0.46220051,0.138872958
-0.8365,-0.9425,-0.3145,-0.7015,-0.1285,-0.6875,0.2135,-0.3455,-0.5825,-0.6935,11.78042085,0.445253076,0.126782709
0.6765,-0.3455,-0.6735,-0.4135,-0.2335,-0.6815,0.4305,-0.8135,-0.0055,-0.3755,11.72410071,0.762347581,0.13401181
0.8755,0.5965,0.9565,0.8735,0.9535,-0.2525,-0.0855,-0.3775,-0.0075,-0.7405,11.7413961,0.443660473,0.015325464
-0.2845,-0.1305,-0.4505,-0.5855,-0.3235,-0.8465,-0.8005,-0.4435,0.0215,0.7625,11.89699035,0.639565829,0.0877558
0.9955,-0.1595,-0.9415,0.7415,0.3525,-0.2195,0.4125,0.3915,0.1325,0.1525,11.7206088,0.452022464,0.006803585
-0.5325,0.8555,0.9545,-0.2935,-0.0645,0.5645,0.3315,-0.4165,0.4565,0.6935,11.72840506,0.341238654,0.141768996
0.3395,0.8325,-0.6905,0.2475,-0.0135,-0.4865,-0.8875,0.8825,-0.9245,-0.7285,11.71899146,0.924002894,0.14600768
-0.8685,0.1455,-0.7335,0.6185,0.4105,0.1485,0.8445,-0.9255,0.2215,-0.9165,11.73290453,1.069961843,0.015047776
0.7515,-0.7045,0.4145,0.0995,0.1035,0.1795,-0.8835,0.8005,0.0275,0.2085,11.71984326,0.866536302,0.13273049
-0.3465,-0.1795,-0.6155,-0.4645,-0.4785,0.0255,-0.5315,-0.6285,0.3985,-0.7215,11.76455419,0.68458614,0.09176206
-0.5265,-0.6175,-0.1785,-0.0825,-0.4885,0.2375,0.4715,0.4605,-0.6665,-0.5615,11.79254153,0.277321798,0.11651072
-0.4955,-0.3945,-0.6915,0.5995,0.9015,0.6135,-0.3025,-0.4545,0.9985,-0.6685,11.71784157,0.416087086,0
-0.7135,0.7275,0.8805,-0.6555,-0.5575,0.8785,-0.7565,-0.6695,0.8075,-0.1925,11.72555434,0.595953811,0.037486839
0.6575,-0.9565,0.2325,0.8955,0.1325,0.2395,0.7705,0.6295,0.3905,0.3265,11.71811703,0.828011157,0.02149498
-0.9495,-0.7195,-0.5575,-0.7705,-0.6515,0.1905,0.2835,0.6395,0.2035,-0.0485,11.72076751,0.490213096,0.000856668
0.5425,0.7265,0.6475,-0.9975,0.4505,0.6895,-0.6655,0.8405,0.3005,-0.6605,11.82599537,0.642041228,0.171966271
0.0305,-0.5555,0.1535,0.9765,-0.7365,-0.4565,-0.1905,-0.5885,-0.2505,-0.4795,11.72075261,0.608152131,0
-0.6175,-0.3625,-0.2245,0.8875,-0.0305,-0.6895,0.8365,-0.2945,-0.3415,0.3615,11.76491869,0.549459864,0.128894233
0.2555,0.7715,0.7845,-0.9655,0.5085,-0.9955,0.1745,0.6895,-0.7565,-0.3825,11.72336795,0.314395996,0.128355458
0.2255,0.7225,0.2865,0.4745,0.5765,-0.8565,-0.4365,-0.9985,-0.7095,-0.4195,11.72404885,0.95457669,0.000389193
0.7395,0.2255,0.1355,-0.4855,-0.2845,0.0035,-0.9285,0.4435,0.2945,0.9485,11.80988547,0.81560931,0.13888354
-0.6025,-0.8745,0.6455,0.5725,0.1165,-0.3865,0.4075,0.8565,-0.7005,0.9405,11.71742496,0.781840196,0.044388107
0.1925,-0.3215,0.7265,0.3635,-0.6465,0.8145,-0.0665,-0.8455,0.0235,-0.9195,11.96273614,0.735591031,0
0.9445,0.9225,-0.6765,0.9915,0.7275,0.0735,-0.5535,-0.9465,0.6575,-0.0455,11.71757033,0.691063511,0.155984143
-0.5865,0.3015,-0.0985,0.9965,-0.3765,-0.5115,-0.8625,0.1485,-0.7875,0.3935,11.72391188,0.817421013,0.000170204
-0.9675,-0.7915,-0.7315,0.6635,0.9455,-0.1075,-0.3465,0.2315,-0.0485,0.0855,11.79963408,0.246292442,0.00479249
0.2425,0.7565,-0.8245,0.6995,0.9115,0.2585,-0.4265,0.5525,-0.8955,0.4425,11.78350723,0.647300649,0.000262982
0.5475,-0.7525,0.5295,0.8795,-0.0355,0.0095,-0.0425,-0.6715,0.6475,0.6275,11.88267259,0.376271644,0.147280596
0.4295,0.7875,-0.4465,0.5945,-0.8325,0.2535,-0.6895,0.8145,0.8725,0.4535,11.9484736,0.807387946,0.133286595
-0.1235,-0.4305,-0.1385,-0.6085,-0.1825,-0.8385,0.8985,-0.9235,0.1825,0.8395,11.8485503,0.873553754,0.131633836
-0.5035,-0.7965,0.7355,-0.8985,0.3105,-0.7015,0.1965,0.9985,0.8795,-0.7965,11.72955461,0.590997467,0.138910977
-0.6985,0.5855,0.2355,0.3525,-0.6135,-0.0715,0.7765,-0.5995,0.1125,-0.2025,11.76722092,0.70125856,0.040552688
0.8215,0.0135,0.1345,-0.0405,-0.6775,0.4115,-0.2285,0.8535,0.6615,0.0485,11.8123766,0.656304569,0.03921801
-0.3765,-0.3265,0.9535,0.7625,0.0215,0.8835,-0.5765,-0.3575,0.1495,-0.5945,11.74381727,0.476955304,0.004360361
0.6585,0.9465,-0.3725,-0.0775,-0.7975,0.5135,0.5375,0.0855,-0.3245,0.3845,11.73582763,0.30262756,0.002711166
-0.0235,0.2905,-0.1635,0.2365,-0.7515,-0.8335,0.8125,-0.0315,-0.5615,0.2455,11.72453845,0.385977307,0.153314761
-0.8775,0.1485,-0.4255,-0.4305,-0.7405,0.0385,-0.1315,0.8515,0.2585,-0.2635,11.73408414,0.553710417,0.133458031
0.4605,-0.1625,-0.8945,0.7945,-0.8055,-0.8615,0.1245,0.3095,0.4285,0.7905,11.80652431,0.320764443,0.002237986
-0.3825,-0.3865,-0.6625,0.3945,0.1565,-0.5205,-0.5835,-0.9615,-0.0725,-0.3935,11.72421051,0.902533392,0
0.7895,0.6145,-0.3905,0.4495,-0.5145,0.2685,-0.4225,0.7095,-0.2325,0.1045,11.74707132,0.669548438,0.001231088
0.4045,0.1265,-0.8325,-0.5065,-0.9075,0.4805,-0.6775,-0.4015,0.8985,0.8575,11.96748201,0.376892608,0.08323678
-0.0485,-0.3525,-0.2865,0.0005,0.8215,0.1955,-0.6105,0.8325,-0.6995,0.2835,11.81466532,0.838349906,0.001105313
0.0575,0.5645,-0.7685,0.7235,-0.1905,-0.3795,-0.6355,-0.4415,-0.8765,0.9505,11.95165274,0.684451023,0.126523975
0.3265,0.1855,0.4585,0.3005,-0.7785,-0.5505,-0.9375,-0.6815,0.7655,-0.9285,12.19444945,0.950529779,0
-0.1985,-0.4795,-0.9105,0.5585,-0.8195,0.8805,0.6605,0.7595,-0.5765,0.7605,11.71970422,0.815866387,0.035648645
0.9175,-0.4755,0.4335,-0.2895,-0.9685,-0.4045,-0.6765,0.6875,-0.5365,0.9415,11.76949092,0.932129307,0
0.2455,-0.0365,-0.7965,-0.7875,-0.6855,-0.3535,0.4945,0.7505,-0.8815,-0.4815,11.73205833,0.408596954,0.095401476
-0.2705,0.5555,0.6355,-0.4365,-0.8165,-0.3075,-0.3535,0.3935,0.9365,0.1685,11.78115261,0.315529642,0.034832646
-0.0135,-0.4255,0.0635,0.8635,-0.9135,-0.3475,0.1285,-0.8825,0.9565,-0.4505,11.71824489,0.774968056,0.038065341
0.9635,0.5955,0.1445,0.4285,-0.7805,0.5415,0.0015,0.7695,0.9115,-0.0055,11.76429896,0.602621685,0.012272828
0.9915,-0.0925,0.0965,-0.7865,0.2725,-0.5905,0.1155,-0.0075,-0.9505,-0.5925,11.82844139,0.19705525,0.141913935
0.2795,-0.8895,0.1545,0.8185,-0.5415,-0.9875,0.9965,-0.7775,0.9855,-0.3455,11.85319548,1.120395847,0.16538546
-0.4805,0.6345,0.5775,-0.9115,0.9335,-0.2145,0.3625,-0.3985,-0.7265,-0.2645,11.81570482,0.394694744,0
-0.8245,0.6305,-0.0565,0.6305,0.4755,0.9105,-0.2775,-0.0025,-0.2045,0.2495,11.76377837,0.235810591,0.0118898
-0.3655,-0.5495,0.9155,0.1735,-0.3265,0.6015,0.3455,-0.4255,-0.8265,0.7035,11.76641224,0.115583901,0.138068118
-0.6105,-0.0555,-0.6465,0.4295,0.2145,0.7795,-0.0735,0.7915,-0.4635,0.0205,11.82506618,0.641473156,0.000686493
-0.3845,0.1825,-0.6965,0.2715,0.7835,-0.5075,0.0455,0.3595,0.4475,-0.5855,11.71818967,0.211643667,0.00796715
0.9875,0.8745,-0.0615,-0.3375,0.9235,0.1285,0.8305,-0.7955,0.9285,-0.1885,11.72118008,1.041015317,0.150215389
-0.5285,0.4745,-0.3775,0.5265,-0.0945,-0.3625,0.4195,-0.3235,0.4205,0.6615,11.78845148,0.40178455,0.072070451
0.4725,0.3765,-0.1485,0.5485,0.8905,0.4215,0.1975,0.1405,0.5705,-0.8655,11.77634749,0.332255618,0.100802009
-0.9455,-0.1915,-0.8095,0.0135,-0.9795,0.1355,0.5915,0.9455,-0.1835,-0.3025,11.72162465,0.674154515,0.121522199
0.4925,0.6835,0.8335,0.1365,-0.9945,0.1095,-0.9735,-0.3785,0.1225,-0.6595,11.84447958,0.84726977,0.006181816
0.2735,-0.2315,0.7775,-0.6595,-0.2485,0.5065,-0.1295,0.2725,0.7955,0.9495,11.90318552,0.430573524,0.045683735
0.4625,-0.7385,-0.3275,-0.9325,-0.8405,-0.0435,-0.5985,-0.9165,0.4305,-0.0845,11.77828725,0.782068396,0.001419107
0.4505,0.1165,0.2805,-0.9805,0.0935,0.3775,-0.6155,-0.2195,-0.9095,-0.5225,11.7242494,0.659887277,0
0.3055,0.2705,0.4185,0.3685,0.1185,0.5185,-0.5595,0.7895,-0.1095,-0.4935,11.83941879,0.655217488,0.136414075
0.3075,-0.7515,-0.4115,0.7085,-0.1475,-0.0185,-0.5605,-0.4105,-0.2875,0.2375,11.74939508,0.528530626,0.048526697
0.0995,0.0815,0.6995,0.3845,-0.6295,0.6865,-0.8915,-0.3735,-0.6515,-0.4725,11.75628778,0.873111107,0.004760274
-0.4315,-0.9985,-0.6055,0.0155,0.3205,-0.3525,-0.8405,0.9005,0.1445,-0.0345,11.72244815,0.794024039,0.051220212
0.9165,0.1585,0.1275,0.0045,0.0375,0.5755,-0.6565,-0.8895,-0.3755,0.2435,11.72970523,0.74810471,0.062225563
-0.4185,-0.5275,0.3365,0.2905,0.7075,0.2365,0.6665,0.4595,0.2735,-0.6855,11.9410125,0.624312914,0
0.6055,0.7915,-0.7605,-0.5425,-0.5645,0.1045,-0.2365,-0.6125,-0.3945,-0.3335,11.72267347,0.575331623,0.036219358
-0.3615,-0.0265,0.1305,0.8415,0.6255,0.8725,-0.5685,-0.6905,-0.8005,0.1575,11.83422454,0.644086177,0.011416252
0.7335,0.4775,0.4925,0.1705,-0.0655,-0.1185,0.7965,-0.5865,-0.2225,0.2195,11.7567538,0.635973054,0.03452038
-0.2865,-0.0405,-0.4075,-0.1075,0.9775,-0.6975,-0.0335,-0.6495,-0.4315,-0.5955,11.73574484,0.643490486,0.004569851
-0.0075,-0.1965,-0.0415,0.2035,0.0635,-0.2865,-0.1035,0.7355,0.6495,-0.3795,11.75103131,0.423146867,0.119073412
-0.4925,-0.7395,0.6865,0.2645,-0.4455,-0.8585,0.6765,-0.1285,0.7985,-0.3135,11.82006756,0.64586392,0.003933321
0.5695,0.7305,0.2605,0.7125,-0.9815,-0.0615,-0.5585,-0.3305,0.7735,-0.5215,11.90063226,0.466741456,0.000139321
0.6165,-0.4945,-0.9625,-0.6245,0.9705,-0.9185,0.1055,-0.2495,-0.6045,-0.7425,11.71824989,0.414017217,0.00628599
0.6035,0.3325,0.4235,0.2235,-0.1385,0.5015,0.5445,0.4825,0.1025,0.4285,11.71962677,0.614279154,0.023161677
0.7505,0.8885,-0.2625,-0.6535,-0.6265,0.9815,-0.0825,0.4945,0.8145,-0.0555,11.76727474,0.416848415,0
-0.5195,-0.1855,0.2955,0.7695,0.1355,-0.7265,0.0305,0.2325,-0.3195,0.9215,11.71849677,0.30136451,0.012090767
-0.1905,0.6915,-0.8875,-0.7485,-0.8485,-0.3985,-0.1745,-0.5805,-0.7545,0.6895,11.84284518,0.451435685,0.077598326
-0.5475,-0.6155,0.6935,0.6225,0.3435,-0.3645,-0.5205,0.9655,0.8545,-0.6115,11.76792218,0.552724938,0.005088695
-0.2425,0.6535,-0.4715,0.2375,-0.5735,-0.7275,0.2955,-0.0235,0.5915,0.2015,11.75446448,0.282959682,0.008986275
-0.0045,0.8985,0.3875,-0.5185,0.3275,0.0505,-0.2705,-0.7285,0.1555,0.8415,11.83785978,0.375862604,0.132944983
-0.1425,-0.7875,-0.1965,-0.6495,-0.2065,-0.8865,-0.8205,-0.5645,0.7855,-0.2875,11.93078994,0.694455857,0
0.1805,-0.4875,0.5655,-0.8415,0.3965,-0.0745,0.8465,-0.7615,0.4395,0.2545,11.75792427,0.875993558,0.00299742
0.2035,-0.3835,0.0495,0.2875,-0.8875,0.0825,0.0295,-0.1515,0.8565,0.0815,11.71888222,0.155145305,0.005340685
-0.1035,0.0705,-0.7615,0.2915,0.5675,-0.9035,0.4865,0.4135,-0.7935,0.9455,11.72312702,0.473323771,0.006472065
0.5295,0.0075,0.6515,0.6935,0.5295,-0.6135,-0.6555,-0.0255,0.3745,-0.8865,11.72366854,0.424774882,0.150669969
-0.3545,-0.6225,0.7065,0.7105,-0.7185,-0.8435,-0.5965,-0.4125,-0.0435,-0.7145,11.74514643,0.70562216,0.006688594
-0.7725,0.6875,-0.5095,-0.6805,-0.3905,-0.0655,-0.8775,-0.9515,0.3495,0.9945,12.03787747,0.814722673,0.101317208
-0.5795,0.8335,0.6255,0.4915,0.1065,0.8185,-0.2355,0.1315,0.1875,-0.4875,11.73200869,0.127804601,0.147729534
0.3735,0.9695,0.5805,-0.5905,-0.0745,0.6265,-0.6275,0.4195,0.2785,0.2985,11.77530271,0.56662841,0.159332069
-0.7905,-0.9245,0.3305,-0.6945,0.9595,-0.2745,0.4645,-0.1755,0.3195,0.5025,11.75281578,0.471827571,0.000300122
0.4785,0.6675,-0.8465,-0.6755,-0.3155,0.9935,0.5015,-0.2775,-0.7025,0.3985,11.71750453,0.17434209,0.137228486
-0.5155,-0.0945,0.9845,0.5405,-0.1715,-0.6545,0.5285,0.4085,-0.3455,0.1985,11.72345871,0.390704058,0
0.3505,0.4765,0.4295,0.7825,-0.8585,0.5985,-0.5975,0.8465,0.9045,-0.6215,12.3031733,0.659262075,0.151989116
-0.5065,0.3315,-0.9815,-0.6335,0.1905,-0.2095,-0.2225,-0.5185,-0.0165,-0.8915,11.73241908,0.593540615,0.00278749
0.2705,0.8165,0.6705,0.6105,0.7855,-0.7535,0.9205,-0.2535,0.4335,0.4435,11.7637568,0.81750266,0.005493777
0.1015,-0.5505,0.1225,0.7145,0.4045,-0.8715,0.9985,-0.6295,0.2885,-0.6005,11.73222586,1.024493317,0
-0.9485,0.5695,0.4245,-0.4675,-0.6685,0.4155,-0.3545,0.4465,0.1585,0.1975,11.75583781,0.472975827,0.03229714
-0.4915,-0.3415,-0.9295,0.6135,-0.6785,-0.6215,-0.8615,-0.0475,0.6295,0.7745,11.97823678,0.557306879,0.106236531
-0.3585,-0.2055,-0.1415,0.5675,0.7085,0.7305,0.5255,0.6085,-0.4645,-0.4335,12.05034024,0.521280872,0.127642379
-0.9785,0.6385,0.0205,-0.2555,-0.0365,-0.1405,0.7425,-0.0005,-0.9735,0.3055,11.91413172,0.351312871,0.130617003
0.6555,-0.7435,0.7275,0.3175,-0.6115,0.7125,-0.7885,-0.6735,-0.7755,-0.0175,11.76403932,0.876460009,0.018533882
0.8475,0.8385,-0.1145,0.0215,-0.4215,-0.2705,-0.2905,0.4005,0.6755,-0.1895,11.78060062,0.244254325,0.00674654
0.4085,-0.9215,0.6585,-0.9455,-0.9605,0.0185,-0.4245,0.1365,-0.9895,0.8905,11.77326171,0.653933667,0
-0.1865,-0.3805,-0.5705,0.1685,-0.9055,-0.7545,0.0205,-0.1225,-0.8075,0.4825,11.7170586,0.240811544,0.076511938
-0.8335,-0.4075,0.8125,-0.4785,0.4575,-0.0455,-0.1235,-0.4325,-0.1945,-0.7415,11.72143519,0.475724184,0.110139467
-0.3505,0.8925,0.0525,0.1515,-0.7585,0.8815,-0.4895,0.2385,0.1945,0.9775,11.76400097,0.573594171,0.152468419
-0.9225,-0.9575,-0.2675,-0.1945,0.0145,-0.0035,-0.9145,0.4015,-0.0175,0.4445,11.71981842,0.745836349,0
0.0715,0.1705,0.0905,-0.3915,0.9385,0.2005,0.6805,0.2245,-0.7795,-0.9075,12.2375872,0.404183167,0.151201409
-0.4495,0.2695,0.0735,-0.9435,0.3005,-0.2875,0.4985,-0.3795,-0.5115,-0.2235,11.87978957,0.439042739,0.103426737
-0.6695,-0.0705,-0.8745,-0.9425,0.7735,-0.0415,0.6835,-0.0345,0.7935,-0.7875,11.83060867,0.739525624,0.004728659
-0.5085,0.3395,0.0915,0.0175,0.2355,0.1235,0.6235,0.0415,0.7575,-0.1605,11.72698491,0.621717873,0.129043982
0.7825,0.0965,-0.6435,0.0595,-0.0335,0.7575,-0.2325,0.9665,-0.1685,0.6685,11.74082573,0.909257021,0.049214657
0.2045,-0.8475,-0.8525,-0.2995,-0.7595,0.2325,0.5485,-0.3685,-0.5485,-0.1215,11.72134066,0.331381435,0.006444216
-0.2645,-0.9455,0.4275,-0.7275,-0.0535,0.6695,0.0315,-0.3595,0.6715,-0.0215,11.72176124,0.256385663,0.009657516
-0.8925,-0.0915,0.3075,-0.9735,0.8825,0.7695,0.8505,0.3225,-0.3005,-0.0095,11.88390401,0.668868559,0
0.4215,-0.3745,-0.7055,0.5305,-0.8135,0.0575,-0.8165,0.2115,-0.9045,-0.8125,11.89394237,0.835446826,0.1045235
-0.2005,-0.9305,0.9405,0.5005,0.4555,-0.5145,-0.9525,0.4555,-0.5505,0.0825,11.85915887,0.815284995,0.004602712
-0.5135,-0.8265,-0.2725,0.1195,0.0065,0.9155,-0.5405,0.1815,0.2015,-0.7475,11.76384038,0.341917714,0.004353228
-0.1255,0.2625,0.3925,0.1845,-0.6195,0.6495,-0.4055,-0.3545,0.2045,0.2975,11.72103572,0.319642515,0.065392327
-0.7795,0.9285,0.1705,-0.6835,0.7025,0.1985,-0.0975,0.8415,0.2055,-0.4695,11.76256974,0.511449875,0
0.4305,0.4655,-0.9915,0.8605,-0.9195,0.2805,0.4285,-0.8095,0.7325,-0.8755,11.91735454,0.823762572,0.004499023
0.6465,0.5095,-0.3575,-0.1085,0.0715,-0.8655,-0.6405,-0.3465,0.4625,-0.5055,11.75037109,0.545686162,0
-0.3775,-0.3635,0.7885,-0.5735,0.0465,0.5555,-0.0565,-0.0155,0.9485,-0.5125,11.8197485,0.186877189,0.002318045
-0.5725,0.6425,-0.4565,-0.9245,0.5785,-0.5355,-0.3995,0.7835,-0.2055,-0.5405,11.71924888,0.472673662,0.005953911
0.1515,0.1365,0.0105,-0.4825,0.0815,-0.1465,-0.7515,0.4755,0.3845,-0.7915,11.82862268,0.487220982,0.093430347
0.8085,0.5915,-0.8545,-0.2325,-0.2315,-0.4215,-0.6175,0.4255,-0.0995,-0.8945,11.78903029,0.487212192,0.119423845
-0.2515,0.4125,0.1495,0.5625,-0.2385,-0.4075,-0.6725,0.8185,-0.8295,-0.1325,11.72247762,0.84031902,0.038255107
-0.0685,-0.1545,-0.0575,0.8505,0.6965,0.2795,-0.9365,0.7405,0.5515,-0.3315,11.7281586,0.67407047,0.112664219
0.5645,0.0145,-0.9895,-0.3125,-0.2755,0.0215,-0.1285,0.4125,-0.2615,0.9585,11.74189064,0.529373852,0.121534436
-0.5645,-0.1995,0.3515,0.9075,0.8575,-0.9085,0.1235,-0.7225,-0.7235,0.7055,11.91732358,0.432797974,0.064020392
0.5285,-0.1825,-0.3115,0.6215,-0.3515,0.6785,0.7975,-0.5155,0.1355,0.9655,11.71752483,0.566371154,0.13172906
0.4265,-0.8905,0.8245,0.9595,0.8735,0.0755,0.3725,-0.5985,-0.1295,0.5245,11.78641067,0.4304853,0.138652775
0.2715,-0.7405,-0.8405,0.1255,0.2935,-0.1455,-0.7705,0.4925,0.4965,0.5935,11.72358249,0.617468265,0.072955572
-0.6145,-0.4525,-0.6295,0.7655,0.7395,0.2915,0.6845,0.9215,0.0475,-0.3745,11.88252226,0.827338498,0.12897831
0.0295,-0.2835,-0.3605,0.7175,-0.9365,-0.4475,-0.0405,0.5365,0.1455,0.9965,11.7778501,0.549577245,0
-0.0385,-0.4665,0.0995,-0.3675,-0.5225,0.4385,0.5155,-0.7795,0.3055,0.8605,11.72159325,0.503158923,0.139420343
-0.4345,0.6465,0.2415,-0.2745,-0.7305,0.1805,0.4185,0.3715,0.4925,-0.7555,11.71947478,0.356988759,0
-0.1325,-0.6815,0.4785,-0.5585,0.8925,-0.6035,-0.0775,-0.5115,0.4785,-0.1085,11.72153182,0.450993898,0
-0.9925,-0.2725,0.5035,0.9665,0.1385,-0.1475,0.9265,0.4325,-0.2295,0.1595,11.74051454,0.697190933,0.133649555
0.3495,0.0425,0.6005,0.1035,-0.1445,0.3335,-0.8455,-0.4705,0.6785,0.6875,11.886994,0.522034989,0.144348158
-0.3305,0.5385,0.7855,-0.2465,0.2175,0.3925,0.9455,-0.8845,-0.9795,0.6295,11.87532213,0.704127334,0.139259045
0.6915,0.0795,0.0295,-0.3955,0.6955,-0.7205,0.3035,-0.6345,0.8265,0.1445,11.81154319,0.646800425,0.143873929
0.1755,0.5715,0.9925,-0.8705,-0.6675,-0.1705,0.9685,-0.6155,0.3015,0.0795,11.77706808,0.815666614,0.002928474
0.8725,-0.0605,0.2515,-0.0935,-0.3805,-0.6275,0.5325,0.1625,-0.2895,-0.8105,11.7237029,0.301759394,7.25E-05
-0.7595,-0.6305,-0.8105,0.4525,0.2255,0.5295,-0.5325,0.5745,0.3035,0.9535,11.74431403,0.716548448,0.010301766
-0.1085,0.0315,-0.7165,0.4575,-0.4615,0.6635,0.6565,-0.7195,0.7865,-0.4735,11.93933553,0.817488395,0.002770946
0.9595,-0.8255,-0.8355,0.3895,0.0705,-0.9405,0.2725,0.3795,-0.6125,0.6605,11.72927459,0.330197845,0.001748131
-0.4305,-0.1485,-0.4185,-0.1405,0.0975,0.4245,-0.7665,0.8545,-0.6005,0.1145,11.71934362,0.931476019,0.031955318
-0.3555,-0.0835,0.2685,-0.1525,0.0235,-0.4805,-0.1985,0.4485,0.7055,0.6675,11.72082764,0.419647698,0.06738549
0.3875,-0.7605,0.1405,0.1295,-0.2915,0.3935,0.3695,0.9975,0.0625,0.2235,11.71984243,0.818855244,0.023874641
-0.0755,-0.9995,-0.5545,-0.4215,0.2945,0.1665,0.5215,-0.6075,-0.4925,-0.8215,11.75628684,0.661592422,0.005338935
-0.1445,-0.5205,0.0065,-0.0595,-0.6835,0.8665,-0.9855,0.6475,-0.7815,-0.0905,11.7929221,1.050184922,0.011739543
0.1275,-0.6995,-0.9285,0.9055,-0.2715,0.4305,-0.6415,0.4115,0.5605,-0.8465,12.12348595,0.432136808,0.055128791
0.3885,-0.1515,-0.6385,0.8375,0.5155,-0.3105,-0.0865,-0.6205,0.2415,-0.2265,11.72449378,0.511343149,0.022436772
-0.3195,-0.3085,-0.4695,0.6955,-0.0725,0.9595,-0.9975,-0.1985,0.2175,-0.4125,11.71741684,0.673044153,0.060601243
0.8185,0.2465,0.0155,0.3985,0.4125,-0.7995,0.7305,-0.1945,0.1725,0.1665,11.72454082,0.607092734,0
-0.5255,0.4445,-0.2765,0.6395,0.4895,0.5455,-0.1525,0.1675,-0.7185,0.6055,11.73142558,0.369288989,0.006379992
0.7865,-0.4455,0.1175,-0.3025,-0.0805,0.9645,0.8155,-0.1435,0.6025,0.6975,11.73800857,0.704150317,0.017510126
-0.6485,-0.5835,-0.9865,0.7665,-0.6605,-0.5615,0.4335,-0.7165,-0.5125,0.9435,11.84465391,0.391599123,0.092200673
0.9995,0.4085,-0.8765,0.7755,0.6575,-0.4575,0.2165,-0.4585,0.8755,0.2425,11.80853938,0.494612303,0.0135803
0.9415,-0.1495,-0.2495,-0.3405,-0.2965,-0.4505,0.1955,-0.8065,0.0965,0.3315,11.81107852,0.558207058,0.131611667
0.1885,0.5795,-0.9365,0.1875,0.9035,-0.1205,-0.0635,0.2555,0.5795,0.3295,11.72282124,0.286232802,0.000192805
0.0485,-0.1845,0.4605,-0.1715,0.3865,0.6035,0.8955,-0.3615,-0.3225,0.3835,11.76219174,0.608633906,0.139357247
